code;name;1031;1032;1039;1041;1042;1051;1052;1061;1062;1072;1073;1081;1082;1083;1084;1085;1086;1089;1091;1092;1101;1102;1103;1104;1105;1106;1107
1823;Bovalino;0.0;0.0;0.0;22.5;0.0;6.9;0.1;2.1;0.0;2.3;2.2;0.0;0.9;1.7;0.6;0.7;0.0;1.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1824;Delianuova;0.0;5.6;6.8;21.5;0.0;0.0;0.0;0.0;0.0;0.6;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.6;0.0;0.1;0.1;0.0;0.2
1825;Gioia Tauro;0.0;14.4;17.5;38.3;0.0;16.2;0.2;0.0;0.0;6.6;6.2;0.0;4.4;8.3;3.2;3.2;0.0;6.6;0.0;0.0;0.1;1.2;0.0;0.2;0.2;0.0;0.3
1826;Locri;0.0;0.5;0.5;19.1;0.0;11.1;0.1;1.0;0.0;6.2;5.9;0.0;2.2;4.2;1.6;1.6;0.0;3.3;1.0;0.0;0.1;1.2;0.0;0.2;0.2;0.0;0.3
1827;Marina Di Gioiosa Ionica;0.0;19.5;23.7;4.7;0.0;1.2;0.0;0.0;0.0;4.0;3.8;0.0;0.3;0.6;0.2;0.3;0.0;0.5;0.0;0.0;0.3;2.4;0.0;0.5;0.3;0.0;0.6
1828;Melito Di Porto Salvo;0.0;1.5;1.9;29.2;0.0;2.0;0.0;12.0;0.0;4.6;4.3;0.0;2.1;3.9;1.5;1.5;0.0;3.1;0.0;0.0;1.2;10.4;0.0;2.0;1.5;0.0;2.7
1829;Oppido Mamertina;0.0;14.4;17.5;39.6;0.0;0.0;0.0;0.0;0.0;1.2;1.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.6;0.0;0.1;0.1;0.0;0.2
1830;Polistena;0.0;1.3;1.6;51.7;0.0;15.7;0.2;7.6;0.0;6.5;6.2;0.0;1.8;3.3;1.3;1.3;0.0;2.6;0.0;0.0;0.1;1.2;0.0;0.2;0.2;0.0;0.3
1831;Reggio Di Calabria;0.0;56.9;69.2;12.7;0.0;92.6;1.0;2.0;0.0;26.2;24.7;0.0;14.6;27.2;10.4;10.6;0.0;21.6;0.0;0.0;2.3;20.2;0.0;3.8;2.8;0.0;5.3
1832;Roccella Ionica;0.0;0.8;1.0;15.0;0.0;10.3;0.1;0.0;0.0;1.5;1.5;0.0;0.9;1.6;0.6;0.6;0.0;1.3;0.0;0.0;0.4;3.2;0.0;0.6;0.4;0.0;0.8
1833;Rosarno;0.0;61.6;74.9;29.9;0.0;11.4;0.1;1.2;0.0;3.3;3.1;0.0;1.8;3.4;1.3;1.3;0.0;2.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1834;Sant'eufemia D'aspromonte;0.0;0.5;0.5;34.8;0.0;5.4;0.1;2.0;0.0;1.9;1.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.6;0.0;0.1;0.1;0.0;0.2
1835;Stilo;0.0;0.0;0.0;10.5;0.0;2.5;0.0;0.0;0.0;0.9;0.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;2.9;0.0;0.5;0.4;0.0;0.8
1836;Taurianova;0.0;0.9;1.0;13.0;0.0;0.0;0.0;0.0;0.0;4.0;3.8;0.0;0.4;0.7;0.3;0.3;0.0;0.5;4.6;0.0;0.1;1.2;0.0;0.2;0.2;0.0;0.3
1837;Cirò Marina;0.0;0.0;11.9;8.6;0.0;0.0;0.0;0.0;0.0;0.4;2.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.7;48.4;0.0;0.0;1.4;0.0;0.0
1838;Crotone;0.0;0.0;33.2;45.2;0.0;78.9;0.0;28.5;0.0;1.6;9.1;0.0;1.3;2.0;10.0;1.0;0.0;41.4;0.0;0.0;8.8;18.0;0.0;0.0;0.5;0.0;0.0
1839;Mesoraca;0.0;0.0;0.0;4.4;0.0;10.6;0.0;0.0;0.0;0.1;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1840;Petilia Policastro;0.0;0.0;0.0;26.0;0.0;0.0;0.0;0.0;0.0;0.2;1.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1841;Serra San Bruno;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4;1.2;0.0;2.4;0.6;0.0;1.0;0.0;15.7;0.0;0.0;10.9;0.5;0.0;0.0;0.8;0.0;8.8
1842;Soriano Calabro;0.0;0.0;0.0;22.8;0.0;0.0;0.0;0.0;0.0;2.5;2.2;0.0;1.3;0.3;0.0;0.6;0.0;8.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1843;Tropea;0.0;0.0;1.8;4.3;0.0;13.3;9.1;1.7;0.0;1.3;1.2;0.0;0.9;0.2;0.0;0.4;0.0;6.1;0.0;0.0;1.4;0.1;0.0;0.0;0.1;0.0;1.1
1844;Vibo Valentia;0.0;0.0;29.5;67.1;0.0;85.7;59.0;14.9;0.0;12.3;10.7;0.0;7.1;1.7;0.0;3.0;0.0;46.8;0.0;0.0;13.8;0.6;0.0;0.0;1.1;0.0;11.1
1845;Nova Siri;0.0;0.0;0.0;5.1;0.0;0.0;0.0;0.0;0.0;0.3;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
